video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
PoNWU2cox9w,255,2251,964,0,53033,3480054,2019-04-06 11:56:11.561552
6hTzM1BPdU8,433,1857,170,0,16057,690262,2019-04-06 11:56:12.802282
MCW5HUkrr-o,672,3803,971,0,64903,2023235,2019-04-06 11:56:13.908161
YvfYK0EEhK4,138,4632,3964,0,104772,4567738,2019-04-06 11:56:15.383368
cxMvzK2OQTw,163,6325,9148,0,26282,1466108,2019-04-06 11:56:16.761367
bAkEd8r7Nnw,628,10637,4066,0,175583,9460632,2019-04-06 11:56:17.932875
ItYOdWRo0JY,655,24168,90737,0,104608,11920561,2019-04-06 11:56:19.218605
5530I_pYjbo,351,43672,10177,0,1180303,24482807,2019-04-06 11:56:20.710350
dUMH6DVYskc,42,4003,6778,0,12462,2585773,2019-04-06 11:56:21.879165
gjXrm2Q-te4,76,5449,1522,0,102270,3543090,2019-04-06 11:56:23.102178
9SK1I0V6U5c,358,14194,5419,0,277333,17435943,2019-04-06 11:56:24.682895
VsYmwBOYfW8,267,3692,4133,0,82763,10857028,2019-04-06 11:56:25.915995
CtBca6H6Teg,304,4570,682,0,44214,2298367,2019-04-06 11:56:27.442814
pcWKpGzhgq4,161,700,292,0,17492,1894847,2019-04-06 11:56:28.663989
L3br0klRqF4,24865,446,350,0,690,176515,2019-04-06 11:56:30.297891
9kF9xY74h-E,414,11851,1015,0,244088,3444580,2019-04-06 11:56:31.635964
p2EY93WfBQk,947,2510,761,0,38355,681802,2019-04-06 11:56:32.944916
xL_qpDkF5A8,75,1123,350,0,13962,2294424,2019-04-06 11:56:34.188091
eQVhAN7-IAw,233,4416,1267,0,94523,2825440,2019-04-06 11:56:35.762509
Y9nDagqKL7Q,17,2519,643,0,59318,1754392,2019-04-06 11:56:37.286840
DbJ2s_g1oDc,651,3060,1585,0,34489,1911757,2019-04-06 11:56:38.597929
KJ12FVmumeA,362,945,296,0,1860,377063,2019-04-06 11:56:39.725329
qDAxDcjgn-8,568,3551,1524,0,16628,681153,2019-04-06 11:56:41.358671
815lSYphlbw,530,1027,154,0,10929,567814,2019-04-06 11:56:42.463428
E_86MEdNsAI,522,1871,256,0,20543,632937,2019-04-06 11:56:43.680412
Cr9oGxr0Qa0,405,1286,168,0,14233,526934,2019-04-06 11:56:44.992509
g0K5QoEj7FQ,48,99,152,0,219,60839,2019-04-06 11:56:46.117648
l4bAoNAx2uo,392,38600,14492,0,64700,5258741,2019-04-06 11:56:47.277364
TSqwDQHE1J8,0,0,0,0,0,0,2019-04-06 11:56:48.440682
MltuW2kcREI,788,6833,2116,0,144398,6422226,2019-04-06 11:56:49.886990
jGiqc3HSxEg,443,970,381,0,24029,650373,2019-04-06 11:56:51.162080
XrDlDj9DfZs,110,180,117,0,2583,232945,2019-04-06 11:56:52.416891
Z3OZyb2iWqQ,323,171,116,0,4250,482627,2019-04-06 11:56:53.802452
