channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
PinkVEVO,UCXJDX1KK6t121Z9FLhu5o2A,2009-05-12T05:29:03.000Z,7543805,124,4507926333,2019-04-07 14:39:41.779655
Tamar Chronicles,,,0,0,0,2019-04-07 14:39:42.825126
Kitten Lady,,,0,0,0,2019-04-07 14:39:43.868792
Guinness World Records,,,0,0,0,2019-04-07 14:39:44.916292
Blockbuster,UC_uwk2Tlyat1X0WpIj2y_2g,2006-02-24T23:00:41.000Z,110,2,839,2019-04-07 14:39:46.013817
TrainVEVO,UC5e_2fVZJ2heCb799A04AtA,2009-10-15T19:13:16.000Z,961859,85,880838764,2019-04-07 14:39:47.110268
Christen Dominique,,,0,0,0,2019-04-07 14:39:48.155932
James Charles,,,0,0,0,2019-04-07 14:39:49.221827
FreeDawkins,,,0,0,0,2019-04-07 14:39:50.274405
The Infographics Show,,,0,0,0,2019-04-07 14:39:51.324160
Jenny Hanell,,,0,0,0,2019-04-07 14:39:52.359615
PetaPixel,UCkkhuzI6klpeII98hikpKWg,2008-07-16T18:53:51.000Z,1,0,0,2019-04-07 14:39:53.510967
RM Videos,,,0,0,0,2019-04-07 14:39:54.556390
BrianJustinCrum,,,0,0,0,2019-04-07 14:39:55.616932
CupcakeJemma,UCoMum0pwewO8_WtTlUQxGHw,2013-06-25T10:07:12.000Z,1489463,345,128301248,2019-04-07 14:39:56.786338
Anaki Abo,,,0,0,0,2019-04-07 14:39:57.829902
Katy Perry,,,0,0,0,2019-04-07 14:39:58.923338
I'm With Her,,,0,0,0,2019-04-07 14:39:59.961818
Zoella,,,0,0,0,2019-04-07 14:40:01.001374
Storyful News,,,0,0,0,2019-04-07 14:40:02.054757
Tu Fan,,,0,0,0,2019-04-07 14:40:03.098208
MyHarto,UCJQL1Fai-9GlVunsbP4x8Pg,2009-06-05T06:28:12.000Z,2471778,649,319433159,2019-04-07 14:40:04.167701
Chicago Sun-Times,,,0,0,0,2019-04-07 14:40:05.209158
PhilPhillipsVEVO,UCqFqC-qFh6NGDJlx4qU4Tzw,2012-07-03T01:22:04.000Z,458594,28,167779495,2019-04-07 14:40:06.288767
Tati,,,0,0,0,2019-04-07 14:40:07.368199
Ozuna,,,0,0,0,2019-04-07 14:40:08.417914
Madelaine Petsch,,,0,0,0,2019-04-07 14:40:09.455479
Steve Kovach,,,0,0,0,2019-04-07 14:40:10.494001
ESPN,UCiWLfSweyRNmLpgEHekhoAg,2005-10-31T23:34:22.000Z,4848167,20362,2914129912,2019-04-07 14:40:11.559614
LetsGoWarriors,,,0,0,0,2019-04-07 14:40:12.610080
KSNV News 3 Las Vegas,,,0,0,0,2019-04-07 14:40:13.664524
Sailor J,,,0,0,0,2019-04-07 14:40:14.703001
WIRED,UCftwRNsjfRo08xYE31tkiyw,2005-09-23T03:09:26.000Z,3914357,2807,1098511249,2019-04-07 14:40:15.782588
HiHo Kids,,,0,0,0,2019-04-07 14:40:16.827091
ElectroBOOM,,,0,0,0,2019-04-07 14:40:17.880486
Brent Pella,,,0,0,0,2019-04-07 14:40:18.928135
Cards Against Humanity,,,0,0,0,2019-04-07 14:40:19.982504
The Slow Mo Guys,,,0,0,0,2019-04-07 14:40:21.023274
TechSmartt,UCpT9kL2Eba91BB9CK6wJ4Pg,2010-12-29T01:46:06.000Z,3370418,1064,564833708,2019-04-07 14:40:22.097656
JunsKitchen,UCRxAgfYexGLlu1WHGIMUDqw,2012-11-12T02:38:12.000Z,3486064,25,194340733,2019-04-07 14:40:23.174134
Attaullah Malik,,,0,0,0,2019-04-07 14:40:24.214833
The Tonight Show Starring Jimmy Fallon,,,0,0,0,2019-04-07 14:40:25.260443
Anwar Jibawi,,,0,0,0,2019-04-07 14:40:26.304821
Washington Post,,,0,0,0,2019-04-07 14:40:27.347214
Dolan Twins,,,0,0,0,2019-04-07 14:40:28.393155
Jackie Aina,,,0,0,0,2019-04-07 14:40:29.449094
TV Promos,,,0,0,0,2019-04-07 14:40:30.499485
Taylor Swift,,,0,0,0,2019-04-07 14:40:31.539124
ProZD,UC6MFZAOHXlKK1FI7V0XQVeA,2006-05-16T19:32:51.000Z,1862687,1133,483754138,2019-04-07 14:40:32.614586
