video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
nlIE1I6DxjI,UC75d1FNP1qR0lCY1usRKQEw,2008-06-10T22:19:20.000Z,504263,145,29838129,2019-04-08 11:11:03.729963
gC3Y7SowqwA,UCIRYBXDze5krPDzAEOxFGVA,2014-10-22T09:51:00.000Z,378614,4003,387114970,2019-04-08 11:11:09.109866
9flXyzcSfT4,UCO6Rq8SSY5ui4ptyMkLirIQ,2009-08-23T01:08:59.000Z,1175639,327,246451290,2019-04-08 11:11:10.329187
Xx1tK0RyZxs,UCR4wTAyVbbX-IiBiGCgIBTg,2012-09-12T17:37:13.000Z,0,2865,185231120,2019-04-08 11:11:12.010322
fSutgzDY_I4,UCOn923UnbV8H9zo_lO6ZCRw,2010-04-16T16:16:54.000Z,99214,743,114325062,2019-04-08 11:11:13.278656
cOaRPJQXFG4,UCGgf_k1y-_d-4Eh922iCCJg,2009-04-10T17:12:34.000Z,554421,511,437674937,2019-04-08 11:11:14.487064
hcfMZ6qjdXM,UCqnbDFdCpuN8CMEg0VuEBqA,2006-10-13T21:57:36.000Z,1832037,9534,740662991,2019-04-08 11:11:15.865303
tblXEAKO6KA,,,0,0,0,2019-04-08 11:11:17.158741
FB64ez0kf1c,UChDKyKQ59fYz3JO2fl0Z6sg,2013-08-21T18:36:02.000Z,1235502,11517,965850822,2019-04-08 11:11:18.383059
dQMZLXaa1L8,UCZ-31ierWYx-XO6FALHYAEw,2007-05-18T19:09:47.000Z,2250,1562,2572048,2019-04-08 11:11:19.629317
nrB7aqfRzyE,UCjckM1uBUbeDphpmVtktnaQ,2010-12-13T02:11:30.000Z,143,9,798410,2019-04-08 11:11:20.842620
wtegEB9lvaA,UC7qn3NBI3XV7d8I3cvZeABw,2007-04-15T13:54:36.000Z,629218,443,350179140,2019-04-08 11:11:22.065674
eHEwkvFFBII,UCeTKJSW1NTAkf27nNmjWt5A,2007-12-05T13:02:47.000Z,335780,6414,216230501,2019-04-08 11:11:23.586810
IzQwbRdh5Ts,UCN6_zlOc1aJEzfG_ZkXpUgA,2006-09-06T07:56:19.000Z,73,55,505488,2019-04-08 11:11:24.837839
CWAX-tiepMo,UCzH3iADRIq1IJlIXjfNgTpA,2006-07-11T03:56:06.000Z,9607499,8079,5798571174,2019-04-08 11:11:31.057529
nDoQqQUa9C8,UCONd1SNf3_QqjzjCVsURNuA,2009-07-14T22:00:58.000Z,2822884,417,282007881,2019-04-08 11:11:32.285818
CZ7KRUYQyKE,,,0,0,0,2019-04-08 11:11:33.539630
-p2lhxUqMMQ,UCCODtTcd5M1JavPCOr_Uydg,2011-08-05T20:26:07.000Z,2085832,904,484494096,2019-04-08 11:11:35.464713
MtJFuT0KFq4,UCNmfuDtKkWJfWe4zh9MBrUA,2009-04-08T12:19:39.000Z,1144556,317,168082999,2019-04-08 11:11:36.663323
8MfSVTHqNHU,UCnzbVkknmqhRqUKg7RDTDeg,2006-03-20T00:54:28.000Z,4472246,5913,2538752424,2019-04-08 11:11:37.858095
QLFRGj-PPNI,UC4PziMH5MvvsmqM0VCZTy-g,2014-02-11T17:17:17.000Z,2387253,791,1307566870,2019-04-08 11:11:46.084598
48-pr5-G6Pw,UCW0rqnEt1YiuhM7I28l6L2g,2012-10-09T17:48:36.000Z,286949,28,108219965,2019-04-08 11:11:47.557992
floMqK_yHf8,UCLkAepWjdylmXSltofFvsYQ,2012-12-17T03:20:38.000Z,16825550,951,2254172168,2019-04-08 11:11:53.750509
