channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
Summit,UCN25UziqiH2Xnd51FRWXk5Q,2005-11-29T12:39:09.000Z,23,0,0,2019-04-07 16:27:31.668200
reputationswift,,,0,0,0,2019-04-07 16:27:32.736682
DunkFest,UCoPtIvWD4IKLXb67m6Qpm8g,2006-07-02T03:51:17.000Z,7,1,9076,2019-04-07 16:27:33.856355
Cut,,,0,0,0,2019-04-07 16:27:34.910815
The Scran Line,,,0,0,0,2019-04-07 16:27:35.950039
MattMasonPhotography,UC5NuaA6wTMEi9nsd8wmd1Qg,2009-11-16T19:01:05.000Z,123,75,251380,2019-04-07 16:27:37.079593
Vanity Fair,,,0,0,0,2019-04-07 16:27:38.121623
Red Bull,,,0,0,0,2019-04-07 16:27:39.154620
BBCRadio1VEVO,UCKoafhJ9dkAWaEvlXCiBBwA,2015-10-26T12:45:03.000Z,1793026,515,584370877,2019-04-07 16:27:40.222311
Mark Ferris,,,0,0,0,2019-04-07 16:27:41.268229
todrickhall,UC1VYb0EKcZuy9rG3q0VR57Q,2006-05-27T08:30:06.000Z,3060113,566,622634536,2019-04-07 16:27:42.334647
Donut Media,,,0,0,0,2019-04-07 16:27:43.379028
Eater,UC6kiEQfHFfAo96jvIP-MT9w,2006-01-24T03:39:39.000Z,53,2,6586,2019-04-07 16:27:44.485439
HANSON,,,0,0,0,2019-04-07 16:27:45.539212
Frank May,,,0,0,0,2019-04-07 16:27:46.707532
NBA on ESPN,,,0,0,0,2019-04-07 16:27:47.745785
SIRAH,UC7txVvO1gwmiBGbq_u6h0lQ,2006-02-18T01:55:12.000Z,14,1,41,2019-04-07 16:27:48.869288
ScreenPrism,,,0,0,0,2019-04-07 16:27:49.911738
Valk Aviation,,,0,0,0,2019-04-07 16:27:50.948154
Shantell Martin,,,0,0,0,2019-04-07 16:27:51.994568
Gregg Peterson,,,0,0,0,2019-04-07 16:27:53.040121
Estée Lalonde,,,0,0,0,2019-04-07 16:27:54.100512
Canada Soccer,,,0,0,0,2019-04-07 16:27:55.142082
WLKY News Louisville,,,0,0,0,2019-04-07 16:27:56.179669
The Office US,,,0,0,0,2019-04-07 16:27:57.219460
Entertainment Weekly,,,0,0,0,2019-04-07 16:27:58.257886
12 News,,,0,0,0,2019-04-07 16:27:59.298366
Bkav Corp,,,0,0,0,2019-04-07 16:28:00.336904
Daelric,,,0,0,0,2019-04-07 16:28:01.388984
"monday.com, formerly dapulse",,,0,0,0,2019-04-07 16:28:02.427074
GQ,,,0,0,0,2019-04-07 16:28:03.476638
TMZSports,UCE3yf1AcIlXdps2EYbq3lzw,2013-09-25T03:50:59.000Z,526971,8230,547254421,2019-04-07 16:28:04.545863
Caters Clips,,,0,0,0,2019-04-07 16:28:05.584043
You Suck At Cooking,,,0,0,0,2019-04-07 16:28:06.626545
Tanner Braungardt,,,0,0,0,2019-04-07 16:28:07.667040
